actual,predicted
0,2.21036e-23
0,3.2747225e-12
0,9.086407e-11
0,6.6447617e-16
0,1.4618113e-16
0,4.8494415e-18
1,0.20164558
1,4.4873008e-11
0,0.00058182376
0,0.99999976
0,4.8798274e-11
0,9.822831e-16
0,9.108684e-23
0,6.99307e-05
1,1.0
0,0.007545616
1,0.9999999
0,0.0003048556
1,0.0075999945
0,0.9999131
1,0.7487116
0,4.419373e-08
0,0.055076566
0,2.772559e-13
0,0.9187235
0,8.6912105e-06
0,4.9695503e-10
1,0.99983466
0,3.1040117e-09
1,6.985198e-05
0,0.72345316
0,1.0
0,5.5408916e-13
0,0.9999994
0,0.00010679597
0,1.6334356e-07
0,0.1007335
0,2.594669e-11
0,1.1015187e-25
0,7.402023e-07
0,0.9905511
0,1.5872544e-06
0,2.213233e-08
0,5.51175e-38
0,3.2290123e-07
1,3.5753737e-17
0,3.0937372e-06
1,7.727789e-11
0,1.9809966e-10
0,0.00032362185
0,0.05469169
0,4.0718072e-07
0,4.122792e-15
0,5.6091316e-11
1,0.98551834
1,5.2836078e-09
0,7.578574e-24
0,1.67181e-18
0,1.0
1,0.056716792
0,1.0
1,1.0
0,1.0
0,0.62956876
1,0.98402786
1,0.9999696
0,4.019051e-09
1,2.723163e-09
0,1.0
1,7.262985e-17
0,0.99985063
0,0.9996612
0,6.8012064e-28
1,0.97038245
1,1.777159e-15
1,0.00038196423
1,1.0
0,2.6021851e-09
0,0.99271625
1,0.0057859104
0,0.9999982
0,1.18571615e-08
0,1.6248842e-28
0,0.0041673086
1,9.864185e-10
0,0.9933334
0,1.19589465e-14
0,0.00469518
1,3.9406946e-15
0,0.00012375739
1,3.3294652e-16
0,1.2111423e-20
0,1.5993373e-11
1,5.3195454e-06
1,0.9995047
0,3.538249e-11
0,1.0
0,1.514539e-16
0,1.16160526e-23
1,5.172714e-09
0,0.001825677
0,0.9992735
0,9.373553e-15
0,0.009616607
1,0.029322313
0,3.3022545e-14
1,7.251809e-11
0,0.080115
0,6.7921965e-13
0,1.6969322e-11
0,3.7689105e-07
0,0.234943
1,2.5190575e-16
1,0.9999927
1,1.0
1,0.9998487
1,0.99994683
1,0.48489758
0,0.99897397
0,0.0003613671
0,0.99997795
0,1.4564197e-21
0,7.563519e-26
0,0.68405384
0,0.016967295
1,1.0
1,0.9723488
0,0.0036464303
0,2.8236427e-13
0,5.454705e-25
1,0.9991788
0,7.5124194e-06
1,0.00021327355
0,2.6254229e-12
1,0.89245236
0,0.0006473239
0,0.000112250906
0,1.3434341e-07
1,1.9993729e-10
1,0.8231367
0,5.176052e-12
0,8.4446683e-19
0,0.30659565
0,1.4969625e-16
0,0.9999999
0,3.5815283e-18
0,0.99998116
1,1.1626689e-16
0,0.00017958686
0,1.3764393e-05
0,3.5788027e-15
0,3.7667097e-16
1,2.3546354e-08
0,0.99999964
0,4.4333373e-07
0,0.10479478
0,0.97574914
0,2.6349672e-10
0,0.0011796212
0,1.3192713e-17
0,2.5605948e-10
0,2.3740094e-26
0,4.4275004e-22
0,1.0
0,3.3399104e-07
0,0.5019864
0,8.4552937e-07
0,2.5651234e-05
1,4.3206448e-05
0,0.9851252
0,1.0
0,1.165246e-28
1,7.330461e-08
0,1.5476081e-22
0,0.9984218
0,4.0338377e-15
1,0.41163713
0,4.2360834e-20
0,0.00012795474
0,7.607404e-10
1,1.0
0,2.7003035e-19
0,1.3408988e-06
